CustomerID,Day,State,Balance
1,0,Good,517.16
1,1,Good,517.16
1,2,Closed,517.16
2,0,Good,376.48
2,1,Good,376.48
2,2,At-Risk,376.48
2,3,At-Risk,376.48
2,4,At-Risk,376.48
2,5,Good,376.48
2,6,Good,376.48
2,7,Good,376.48
2,8,Good,376.48
2,9,Good,376.48
2,10,Good,376.48
2,11,Good,376.48
2,12,Good,376.48
2,13,Good,376.48
2,14,Good,376.48
2,15,Good,376.48
2,16,Good,376.48
2,17,Good,376.48
2,18,Good,376.48
2,19,Good,376.48
2,20,Good,376.48
2,21,Good,376.48
2,22,Good,376.48
2,23,Good,376.48
2,24,Good,376.48
2,25,Good,376.48
2,26,Good,376.48
2,27,Good,376.48
2,28,Good,376.48
2,29,Good,376.48
3,0,Good,557.71
3,1,Good,557.71
3,2,Good,557.71
3,3,At-Risk,557.71
3,4,At-Risk,557.71
3,5,Delinquent,557.71
3,6,Delinquent,557.71
3,7,Delinquent,557.71
3,8,At-Risk,557.71
3,9,At-Risk,557.71
3,10,At-Risk,557.71
3,11,At-Risk,557.71
3,12,At-Risk,557.71
3,13,Closed,557.71
4,0,Good,863.95
4,1,Good,863.95
4,2,Good,863.95
4,3,Good,863.95
4,4,Good,863.95
4,5,Good,863.95
4,6,Good,863.95
4,7,At-Risk,863.95
4,8,At-Risk,863.95
4,9,Good,863.95
4,10,Good,863.95
4,11,Good,863.95
4,12,Good,863.95
4,13,Good,863.95
4,14,Good,863.95
4,15,Good,863.95
4,16,Good,863.95
4,17,Good,863.95
4,18,Good,863.95
4,19,Good,863.95
4,20,Good,863.95
4,21,Good,863.95
4,22,Good,863.95
4,23,Good,863.95
4,24,Good,863.95
4,25,Good,863.95
4,26,Good,863.95
4,27,Good,863.95
4,28,Good,863.95
4,29,Good,863.95
5,0,Good,358.86
5,1,Good,358.86
5,2,Good,358.86
5,3,Good,358.86
5,4,Good,358.86
5,5,Good,358.86
5,6,At-Risk,358.86
5,7,At-Risk,358.86
5,8,Delinquent,358.86
5,9,Default,358.86
6,0,Good,358.86
6,1,At-Risk,358.86
